Name,Starts,Wins,Podiums,Top 10s,Top 20s,Avg Place,DNFs,Win%,Podium%,Top 10%,Top 20%,Total $,Avg $,$ as Winner,Strokes
37970,10,0,0,1,1,80.10,0,0.00,0.00,10.00,10.00,958,96,0,"2,617"
Alex Russell,10,0,0,1,2,51.70,0,0.00,0.00,10.00,20.00,"5,438",544,0,"2,730"
Randy Amann,9,0,2,6,9,8.78,0,0.00,22.22,66.67,100.00,"4,905",545,0,"3,092"
Nathan Queen,9,0,0,2,3,41.44,0,0.00,0.00,22.22,33.33,"6,001",667,0,"2,406"
18799,9,0,0,1,4,37.63,1,0.00,0.00,12.50,50.00,"2,367",296,0,"2,473"
39692,9,0,0,1,1,41.44,0,0.00,0.00,11.11,11.11,"1,976",220,0,"2,322"
Austin Turner,9,0,0,1,1,44.88,1,0.00,0.00,12.50,12.50,"4,470",559,0,"2,126"
1213,9,0,0,1,1,51.78,0,0.00,0.00,11.11,11.11,50,6,0,"2,221"
4390,9,0,0,1,2,36.44,0,0.00,0.00,11.11,22.22,"1,167",130,0,"3,477"
Eric Marx,8,0,2,4,5,19.00,0,0.00,25.00,50.00,62.50,"4,302",538,0,"2,866"
Michael Sayre,8,0,1,3,4,20.75,0,0.00,12.50,37.50,50.00,"2,716",340,0,"3,415"
Slate Paul,8,0,0,3,7,19.88,0,0.00,0.00,37.50,87.50,"1,866",233,0,"2,452"
Mike Cloyes,8,0,0,3,3,42.63,0,0.00,0.00,37.50,37.50,"1,731",216,0,"2,728"
Craig Leyva,8,0,0,1,1,44.13,0,0.00,0.00,12.50,12.50,"5,254",657,0,"2,009"
Corey Ellis,8,0,0,1,1,52.75,0,0.00,0.00,12.50,12.50,"7,703",963,0,"2,297"
Isaac Robinson,8,0,0,2,5,22.75,0,0.00,0.00,25.00,62.50,"10,765","1,346",0,"2,063"
29879,8,0,0,1,2,31.50,0,0.00,0.00,12.50,25.00,"3,310",414,0,"2,919"
Luukas Rokkanen,8,0,0,1,1,65.25,0,0.00,0.00,12.50,12.50,"1,276",160,0,"1,975"
4591,8,0,0,1,2,53.50,0,0.00,0.00,12.50,25.00,"2,369",296,0,"2,100"
Nolan Grider,8,0,0,1,1,40.50,0,0.00,0.00,12.50,12.50,"3,792",474,0,"2,593"
16304,8,0,0,1,1,53.50,0,0.00,0.00,12.50,12.50,"4,410",551,0,"2,340"
Snapper Pierson,7,0,2,3,5,15.86,0,0.00,28.57,42.86,71.43,"3,610",516,0,"1,977"
Kyle Klein,7,0,1,4,4,18.00,0,0.00,14.29,57.14,57.14,"22,983","3,283",0,"1,815"
Steve Valencia,7,0,1,2,6,15.71,0,0.00,14.29,28.57,85.71,"2,963",423,0,"2,940"
Clint McClellan,7,0,1,1,2,42.00,0,0.00,14.29,14.29,28.57,"1,297",185,0,"2,266"
Tristan Tanner,7,0,1,1,1,61.00,0,0.00,14.29,14.29,14.29,"8,615","1,231",0,"1,943"
Jeff Malton,7,0,0,3,4,14.67,1,0.00,0.00,50.00,66.67,"3,591",599,0,"2,296"
Bill Burns,7,0,0,1,4,23.00,1,0.00,0.00,16.67,66.67,515,86,0,"1,654"
Mikael Häme,7,0,0,2,3,38.71,0,0.00,0.00,28.57,42.86,"4,790",684,0,"1,820"
2609,7,0,0,1,4,21.50,1,0.00,0.00,16.67,66.67,"1,263",211,0,"2,063"
2705,7,0,0,1,1,32.71,0,0.00,0.00,14.29,14.29,310,44,0,"2,355"
3586,7,0,0,1,3,39.00,0,0.00,0.00,14.29,42.86,"1,569",224,0,"2,614"
9186,7,0,0,1,2,44.86,0,0.00,0.00,14.29,28.57,"1,959",280,0,"2,942"
Niklas Anttila,6,0,1,2,3,21.17,0,0.00,16.67,33.33,50.00,"20,478","3,413",0,"1,490"
Aaron Gossage,6,0,1,1,1,45.33,0,0.00,16.67,16.67,16.67,"15,414","2,569",0,"1,650"
Joe Thacker,6,0,0,1,4,40.33,0,0.00,0.00,16.67,66.67,"1,715",286,0,"1,598"
Gavin Babcock,6,0,0,1,3,34.83,0,0.00,0.00,16.67,50.00,"8,078","1,346",0,"1,622"
2619,6,0,0,1,1,56.33,0,0.00,0.00,16.67,16.67,762,127,0,"2,225"
Ron Convers,6,0,0,1,2,49.33,0,0.00,0.00,16.67,33.33,"3,178",530,0,"1,699"
Tom Monroe,5,0,1,2,4,21.20,0,0.00,20.00,40.00,80.00,292,58,0,"1,224"
Svante Eriksson,5,0,0,3,3,32.00,0,0.00,0.00,60.00,60.00,"1,554",311,0,"2,045"
TJ Lawrence,5,0,0,1,1,45.20,0,0.00,0.00,20.00,20.00,"1,362",272,0,"1,508"
Robert Jerez,5,0,0,1,3,18.80,0,0.00,0.00,20.00,60.00,"1,553",311,0,"2,215"
Ken Jarvis,5,0,0,1,2,29.60,0,0.00,0.00,20.00,40.00,"3,134",627,0,"1,981"
10789,5,0,0,2,4,14.80,0,0.00,0.00,40.00,80.00,"3,212",642,0,"2,004"
1814,5,0,0,1,2,30.20,0,0.00,0.00,20.00,40.00,95,19,0,"1,217"
2009,5,0,0,1,1,61.20,0,0.00,0.00,20.00,20.00,215,43,0,"1,681"
Darrell Nodland,4,0,1,2,3,14.00,0,0.00,25.00,50.00,75.00,"7,688","1,922",0,"1,249"
Tom Krajna,4,0,0,2,3,18.25,0,0.00,0.00,50.00,75.00,158,40,0,"1,028"
Keith Warren,4,0,0,1,3,28.25,0,0.00,0.00,25.00,75.00,"2,273",568,0,"1,509"
Chandler Kramer,4,0,0,1,2,43.25,0,0.00,0.00,25.00,50.00,"5,125","1,281",0,"1,059"
3433,4,0,0,3,3,17.00,0,0.00,0.00,75.00,75.00,363,91,0,"1,101"
1438,4,0,0,2,3,13.75,0,0.00,0.00,50.00,75.00,"1,315",329,0,"1,399"
2191,4,0,0,1,3,14.75,0,0.00,0.00,25.00,75.00,105,26,0,997
2768,4,0,0,1,1,32.75,0,0.00,0.00,25.00,25.00,562,141,0,"1,542"
3422,4,0,0,1,3,15.75,0,0.00,0.00,25.00,75.00,"1,004",251,0,"1,580"
6695,4,0,0,1,1,32.75,0,0.00,0.00,25.00,25.00,526,132,0,"1,103"
7172,4,0,0,1,3,33.50,0,0.00,0.00,25.00,75.00,"2,080",520,0,"1,548"
8658,4,0,0,1,3,31.25,0,0.00,0.00,25.00,75.00,832,208,0,"1,043"
Brian Skinner,4,0,0,1,1,42.00,0,0.00,0.00,25.00,25.00,"2,990",748,0,"1,191"
Todd Rowell,4,0,0,1,1,42.25,0,0.00,0.00,25.00,25.00,"1,840",460,0,"1,024"
Sean Kapalko,4,0,0,1,1,77.25,0,0.00,0.00,25.00,25.00,544,136,0,"1,183"
24843,4,0,0,1,1,55.50,0,0.00,0.00,25.00,25.00,"1,255",314,0,"1,338"
Sam Grizzaffi,3,0,1,2,2,15.67,0,0.00,33.33,66.67,66.67,"1,892",631,0,"1,324"
Lew Satterfield,3,0,1,1,2,14.33,0,0.00,33.33,33.33,66.67,100,33,0,775
Jesse Nieminen,3,0,0,2,2,25.00,0,0.00,0.00,66.67,66.67,"4,435","1,478",0,722
Ronnie Vingerelli,3,0,0,1,2,21.67,0,0.00,0.00,33.33,66.67,325,108,0,754
Torbjörn Svensson,3,0,0,1,1,45.00,0,0.00,0.00,33.33,33.33,0,0,0,763
Mike Byrne,3,0,0,1,1,74.67,0,0.00,0.00,33.33,33.33,915,305,0,"1,013"
3741,3,0,0,1,1,38.33,0,0.00,0.00,33.33,33.33,0,0,0,"1,008"
7475,3,0,0,1,2,43.67,0,0.00,0.00,33.33,66.67,553,184,0,"1,315"
62059,3,0,0,1,2,37.33,0,0.00,0.00,33.33,66.67,958,319,0,811
Antti Kotilainen,3,0,0,1,1,42.00,0,0.00,0.00,33.33,33.33,"1,171",390,0,772
Mikael Räsänen,3,0,0,1,1,30.67,0,0.00,0.00,33.33,33.33,"1,956",652,0,751
Kristian Kuoksa,3,0,0,1,1,39.00,0,0.00,0.00,33.33,33.33,"2,416",805,0,750
Joe The Ursino 2,2,0,1,1,1,14.50,0,0.00,50.00,50.00,50.00,300,150,0,462
Scott Zimmerman,2,0,0,2,2,5.50,0,0.00,0.00,100.00,100.00,500,250,0,535
Terry Thiele,2,0,0,2,2,5.50,0,0.00,0.00,100.00,100.00,"1,261",631,0,757
Stephen Bentley,2,0,0,1,1,18.50,0,0.00,0.00,50.00,50.00,200,100,0,501
1926,2,0,0,1,1,24.50,0,0.00,0.00,50.00,50.00,325,163,0,547
2032,2,0,0,1,1,69.00,0,0.00,0.00,50.00,50.00,114,57,0,671
Jerry Garrett,1,0,0,1,1,4.00,0,0.00,0.00,100.00,100.00,140,140,0,249
42,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,114,114,0,253
996,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,114,114,0,253
3011,1,0,0,1,1,9.00,0,0.00,0.00,100.00,100.00,200,200,0,292
3750,1,0,0,1,1,9.00,0,0.00,0.00,100.00,100.00,0,0,0,312
46072,1,0,0,1,1,10.00,0,0.00,0.00,100.00,100.00,389,389,0,272
